84,0,509
96,0,506
97,0,506
98,0,503
98,0,505
99,0,507
100,0,504
100,0,505
101,0,507
102,0,503
102,0,507
103,0,508
104,0,507
104,0,505
105,0,508
106,0,505
106,0,507
107,0,507
108,0,504
108,0,507
109,0,507
110,0,505
110,0,507
111,0,505
112,0,503
112,0,507
113,0,507
114,0,503
114,0,508
115,0,506
116,0,505
116,0,506
117,0,507
118,0,505
118,0,507
119,0,507
120,0,503
120,0,507
121,0,507
122,0,503
122,0,507
123,0,504
124,0,504
124,0,507
125,0,505
126,0,504
126,0,507
128,0,504
131,0,507
132,0,504
133,0,505
133,0,507
134,0,505
135,0,505
135,0,507
136,0,506
137,0,503
137,0,506
138,0,506
139,0,503
139,0,509
140,0,504
141,0,505
141,0,506
142,0,505
143,0,505
143,0,507
144,0,505
145,0,505
145,0,506
146,0,505
147,0,506
147,0,507
148,0,504
149,0,504
149,0,506
150,0,505
151,0,507
151,0,507
152,0,504
153,0,505
153,0,506
154,0,507
155,0,504
155,0,505
156,0,504
157,0,507
157,0,507
158,0,504
159,0,505
159,0,510
160,0,504
161,0,504
161,0,505
165,0,507
165,0,505
166,0,505
167,0,505
167,0,507
168,0,504
168,0,504
169,0,508
171,0,506
171,0,507
172,0,507
173,0,506
173,0,506
174,0,507
175,0,506
175,0,506
176,0,507
177,0,507
177,0,504
178,0,509
179,0,505
179,0,505
180,0,506
181,0,505
181,0,504
182,0,506
183,0,506
183,0,504
184,0,508
185,0,507
185,0,505
186,0,507
187,0,505
187,0,505
188,0,505
189,0,507
189,0,505
190,0,506
191,0,507
191,0,506
192,0,506
193,0,506
193,0,503
194,0,507
195,0,507
195,0,505
196,0,506
199,0,504
200,0,506
201,0,507
201,0,506
202,0,506
203,0,506
203,0,503
204,0,505
204,0,507
205,0,505
206,0,506
206,0,508
207,0,502
208,0,506
208,0,507
209,0,504
210,0,507
210,0,507
211,0,502
212,0,507
212,0,507
214,0,504
215,0,505
215,0,507
216,0,504
217,0,507
217,0,508
218,0,505
219,0,506
219,0,507
220,0,504
221,0,508
221,0,508
222,0,503
223,0,507
223,0,507
224,0,503
225,0,508
225,0,507
226,0,504
227,0,506
227,0,508
228,0,505
229,0,507
229,0,508
230,0,501
233,0,507
234,0,505
235,0,504
235,0,506
236,0,505
237,0,507
237,0,506
238,0,503
239,0,508
239,0,509
240,0,502
241,0,506
241,0,507
242,0,504
243,0,508
243,0,507
244,0,502
245,0,504
245,0,508
